Job Title,Company,Location,Job Description,Job Posting Time,Job URL
Data Engineer,PepsiCo,"Gurugram, Haryana, India","Responsibilities
As a member of the data engineering team, you will be the key technical expert deve...",2025-02-21,https://in.linkedin.com/jobs/view/data-engineer-at-pepsico-4161492913?position=2&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=e%2BMcrBG2DPkJPpzIXON78g%3D%3D
Data Engineer,Deloitte,"Bengaluru, Karnataka, India","Hi, We are looking for a candidate having experience around 4+ years in Azure Data Engineer.

Locati...",2025-02-05,https://in.linkedin.com/jobs/view/data-engineer-at-deloitte-4142056136?position=3&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=QGyLk%2FUTvZMB0zw4RQbMcg%3D%3D
"Data Engineer, Google Cloud",Google,"Bengaluru, Karnataka, India","Minimum qualifications:

Bachelor's degree in Computer Science, Mathematics, a related field, or equ...",2025-02-28,https://in.linkedin.com/jobs/view/data-engineer-google-cloud-at-google-4169043934?position=4&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=NFqbts3imBqSb7yR1202gA%3D%3D
Data Engineer,Microsoft,"Hyderabad, Telangana, India","Microsoft is a company where passionate innovators come to collaborate, envision what can be and tak...",2025-02-27,https://in.linkedin.com/jobs/view/data-engineer-at-microsoft-4119703458?position=6&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=Q72409PXfDqABbwzvAVnPQ%3D%3D
Data Engineer,Easebuzz,"Pune, Maharashtra, India","Company Profile

Easebuzz is a payment solutions (fintech organisation) company which enables online...",2023-06-06,https://in.linkedin.com/jobs/view/data-engineer-at-easebuzz-3627615719?position=9&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=J6itLx%2BQ3FMrisX1Oeb%2F3w%3D%3D
Data Engineer 2,Licious,"Bengaluru, Karnataka, India","Job Title: Data Engineer 2
Location: Bangalore
Reports to: EM Data Engineer
Job Type: Full-Time...",2025-02-18,https://in.linkedin.com/jobs/view/data-engineer-2-at-licious-4156925998?position=12&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=zqJ3VmLIKp9Lobgqi5KsCg%3D%3D
Data Engineer,PepsiCo,"Hyderabad, Telangana, India","Overview
We are PepsiCo
PepsiCo is one of the world's leading food and beverage companies with more ...",2025-03-05,https://in.linkedin.com/jobs/view/data-engineer-at-pepsico-4173765539?position=13&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=Fi4NMjkHwQYZOaTfXfX2Rw%3D%3D
Data Engineer,LTIMindtree,"Bengaluru, Karnataka, India","Role: GCP Data Engineer
Experience - 5 Years- 12 Years
Location - Bangalore, Gurugram

Mandatory Ski...",2025-02-21,https://in.linkedin.com/jobs/view/data-engineer-at-ltimindtree-4156953896?position=14&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=F5aSeXjbq8OPV4s1k149JQ%3D%3D
Senior Data Engineer II,MakeMyTrip,"Bengaluru, Karnataka, India","Position: Senior Data Engineer II
Experience: Must have 4+ years of experience
About Role:
We are lo...",2025-02-26,https://in.linkedin.com/jobs/view/senior-data-engineer-ii-at-makemytrip-4168606528?position=15&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=aYJCT4wdKCTT0EpK3ZLQpQ%3D%3D
Data Engineer,BookMyShow,"Mumbai, Maharashtra, India",We are looking for a Tech savvy Data Engineer to join our growing team of data experts. This enginee...,2025-02-24,https://in.linkedin.com/jobs/view/data-engineer-at-bookmyshow-4164304214?position=16&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=qi8kZM254LqlKnItKu3Qeg%3D%3D
GCP Data Engineer,Deloitte,"Bangalore Urban, Karnataka, India","What impact will you make?

Every day, your work will make an impact that matters, while you thrive ...",2025-02-05,https://in.linkedin.com/jobs/view/gcp-data-engineer-at-deloitte-4142063185?position=18&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=eP7Jk5JttpyUW4xda6EV9g%3D%3D
"Data Engineer I, IN-Ads",Amazon,"Bengaluru, Karnataka, India","Description

rekindle programNote : For more details on rekindle program, please visit - https://www...",2025-02-25,https://in.linkedin.com/jobs/view/data-engineer-i-in-ads-at-amazon-4167822191?position=19&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=FNoYMANC1SIefoWnJ%2BjHcQ%3D%3D
Data Engineer,Sun Life,"Gurugram, Haryana, India","Who we are?
Sun Life is a leading financial services company with 157 years of history that helps ou...",2025-02-17,https://in.linkedin.com/jobs/view/data-engineer-at-sun-life-4156628759?position=22&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=2SDHgECJxoR8yrMq0xAPxA%3D%3D
Data Engineer,Visa,"Bengaluru, Karnataka, India","Job Description

The Senior Data Engineer role will coordinate with other teams to manage and priori...",2025-02-20,https://in.linkedin.com/jobs/view/data-engineer-at-visa-4159348277?position=23&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=WciOQg7JMJ7VFZ029Ubxmg%3D%3D
Data Engineer,Volvo Cars,"Bengaluru, Karnataka, India","Software: fuel for mobility

We bring bold digital visions to life. So we’re on the lookout for more...",2025-02-18,https://in.linkedin.com/jobs/view/data-engineer-at-volvo-cars-4135655950?position=24&pageNum=0&refId=XVLDMcc037q9HndowzEq2g%3D%3D&trackingId=zNCEDPbp8bH46BxjHz28Bw%3D%3D
